Gene,log2FoldChange,pvalue,padj
IGLVV-58,4.07095668149419,8.4868537792455e-05,0.00010524148239706
INMT,4.06996010852327,2.20546551391323e-16,4.78160335214969e-16
CDC20B,4.06776468992692,4.73010238375083e-34,2.96816445956902e-33
CPE,4.06735410044104,1.53438703337429e-20,4.13363505617153e-20
FCRL4,4.06553371488298,1.23571113350276e-13,2.33271190885094e-13
IGHV3-76,4.06453825900865,0.000100764630849576,0.000124541166314622
IGKV2-36,4.0639917171052,5.89217013523458e-05,7.35441362956483e-05
CPNE5,4.06299390801987,2.99453792677146e-18,7.14920336416952e-18
FFAR1,4.06084803298467,6.67130771421233e-11,1.09966082749631e-10
GSC2,4.06059372585088,0.000198779478159891,0.000242325346444873
CCNJL,4.056801376083,2.48365525577524e-20,6.59948173922685e-20
IGHV1-68,4.05658213339876,9.72855606136393e-05,0.000120342250162218
TIGD7,4.05589484063345,1.6110974547121e-26,6.15659778603674e-26
ACSM2B,4.05532805524955,4.5197057880932e-14,8.73784336904166e-14
H2BC10,4.05364178127489,3.23393567576741e-12,5.69324122854934e-12
IGKV2-23,4.05309898609472,2.61326490656873e-05,3.31277277338147e-05
MT1B,4.05281227433796,2.11816021802818e-05,2.6950910167129e-05
CCNYL2,4.05236374880974,2.45230967960761e-14,4.80137157475731e-14
CAND2,4.05147609794529,3.63038459304073e-32,2.00132601020155e-31
HESX1,4.05136297254785,1.39551749762912e-14,2.76592803238961e-14
HAUS7,4.05035563030133,4.87170734005798e-26,1.80669744216984e-25
FBLN7,4.0497925677773,4.04410990342295e-15,8.22029680517179e-15
LDLRAD3,4.04875003530143,2.00371555075436e-20,5.3594578110998e-20
CCIN,4.04815366312623,1.25469141715669e-11,2.14879856054909e-11
IGKV6D-21,4.04651360489866,2.48729148707117e-05,3.15540931862511e-05
HBG2,4.04648415381577,1.20844271585914e-10,1.96752773171691e-10
MASP2,4.04551174241242,1.13641680493619e-16,2.49720774383898e-16
IFFO1,4.0441682476101,3.48326966724833e-29,1.58059115451504e-28
CCL26,4.04293961113352,6.44617788440869e-09,9.66012297931937e-09
MMRN2,4.04191930708697,4.85613912022519e-23,1.5080904053293e-22
IGKV2D-28,4.04138077365946,1.75280823031691e-07,2.45810771632122e-07
JMJD7-PLA2G4B,4.0391674223083,3.28497115017109e-33,1.94632414911345e-32
HEMK1,4.03816442153368,2.4181860862976e-42,2.7584192449511e-41
IL22RA1,4.0354812739357,1.60152647098922e-27,6.50493825489923e-27
HORMAD1,4.03507273694824,8.43927878524819e-21,2.3061093282252e-20
IGHV7-34-1,4.03331650785135,0.00020576203700727,0.000250733687707723
FRY,4.03052217762033,1.53584141136811e-35,1.07108560987117e-34
CD226,4.02659299256146,1.75818680429903e-27,7.12439149397408e-27
LIN52,4.02590750304103,6.36663667411997e-38,5.26743301700986e-37
TLR2,4.02310312440881,1.86403696441112e-17,4.26535882526196e-17
IGHV3-7,4.0210727159733,5.74044742663384e-07,7.86714724827593e-07
DLK2,4.02044432488235,1.5475376051701e-19,3.96035058436138e-19
GPLD1,4.01979695296491,1.7517948303384e-23,5.57871777706003e-23
IGLV2-28,4.01912037499348,4.08140621128475e-06,5.37602617382847e-06
NBPF1,4.01801246316702,1.64304924449636e-52,4.03919540404172e-51
ACOT1,4.01710668899985,2.79753280972728e-16,6.03665794628592e-16
LEMD1,4.01692188563223,8.9218611082809e-14,1.69666076517765e-13
